10083,23/07/1959,Vishv,Zockler,M,31/03/1987
11081,20/06/1952,Barry,Boyle,M,17/06/1985
11610,17/07/1962,Eirik,Sidhu,M,18/10/1985
10864,07/01/1958,Elliott,Spieker,F,04/09/1985
11080,27/12/1956,Sanjai,Puppe,M,04/07/1988
11978,24/08/1964,Aran,Khalid,F,10/08/1989
10225,13/02/1957,Kellie,Chinen,F,19/06/1986
11114,08/09/1955,Tse,Felcyn,M,14/10/1989
10523,16/05/1956,Malu,Skafidas,M,28/12/1988
11758,27/01/1958,Jinpo,Gerlach,M,03/10/1993
10380,25/05/1956,Alejandro,Kamble,F,19/03/1985
10087,23/07/1959,Xinglin,Eugenio,F,08/09/1986
10779,09/07/1961,Mori,Yavatkar,F,11/01/1988
11990,24/11/1964,Chanjung,Matheson,M,05/09/1988
11520,01/01/1958,Pranas,Jervis,F,20/11/1991
10460,19/02/1963,Shushma,VanScheik,M,01/07/1994
11296,24/12/1954,Hironobu,Kenevan,M,26/09/1989
10623,11/07/1953,Aleksander,Danlos,F,07/03/1987
10164,19/01/1956,Jagoda,Braunmuhl,M,12/11/1985
10746,29/12/1958,Kolar,Usery,F,31/08/1990
10888,15/03/1959,Kwangho,Dredge,F,28/06/1987
10167,23/05/1958,Duangkaew,Rassart,M,04/04/1992
10120,26/03/1960,Armond,Fairtlough,F,06/07/1996
11390,22/03/1962,Masali,Ambroszkiewicz,M,19/12/1990
11055,10/08/1956,Shaleah,Neiman,M,25/05/1995
11113,28/04/1953,Shahab,Peng,F,30/11/1985
10466,25/12/1954,Jiakeng,Himler,M,29/09/1985
11698,10/04/1959,Arun,Azevdeo,M,28/06/1991
11224,12/11/1959,Hugo,Mitzlaff,F,01/05/1988
10927,13/03/1953,Gal,Scallan,M,26/10/1985
10963,15/04/1957,Hatsukazu,Swist,M,14/01/1988
11886,26/12/1957,Snehasis,Veevers,M,02/10/1994
11588,20/07/1952,Kaijung,Panangaden,X,13/10/1986
11755,16/08/1954,Zhenbing,Karner,F,05/12/1990
10472,20/08/1959,Salvador,Lodder,M,29/07/1996
11653,06/05/1963,Mohammed,Ananiadou,F,26/02/1993
11514,17/08/1963,Georgy,Iwayama,M,30/07/1988
10540,24/02/1961,Martins,Barriga,M,03/05/1994
11129,17/08/1964,Goncalo,Pulkowski,M,26/10/1993
11225,25/04/1963,Maria,Schicker,M,11/09/1990
11529,03/04/1962,Heejo,Langford,M,04/03/1988
10084,25/05/1960,Tuval,Kalloufi,M,15/12/1995
10483,13/03/1957,Zhiwei,Anick,M,08/11/1992
11159,28/05/1960,Becky,Schlenzig,F,31/08/1986
11598,07/06/1964,Sariel,Ertl,M,02/04/1994
11716,24/01/1962,Anneli,Leijenhorst,F,17/04/1986
11175,30/06/1963,Aksel,Rajaraman,M,15/03/1991
11721,22/02/1961,Xuejun,Heydon,F,30/11/1990
10213,24/05/1964,Jackson,Kakkad,M,06/11/1992
11047,11/03/1959,Heping,Gluchowski,F,19/07/1995
10230,11/09/1955,Clyde,Vernadat,M,16/06/1996
10904,28/08/1959,Debatosh,Colorni,F,16/04/1993
10082,09/09/1963,Parviz,Lortz,M,03/01/1990
10853,22/03/1964,Yoshinari,Kalloufi,F,03/05/1993
10303,11/09/1961,Marlo,Zschoche,M,05/02/1990
10729,24/05/1961,Percy,Lorho,F,20/04/1986
11042,13/07/1955,Gou,Breugel,F,26/06/1988
10239,31/03/1955,Nikolaos,Llado,X,08/05/1995
10069,06/09/1960,Margareta,Bierman,F,05/11/1989
10793,27/08/1960,Oksana,Roisin,F,02/10/1987
10891,15/12/1963,Susanne,Jiang,F,07/12/1990
10030,14/07/1958,Elvis,Demeyer,M,17/02/1994
11999,17/09/1961,Apostol,Rabehasaina,F,16/01/1986
11947,27/10/1957,Kiyomitsu,Lortz,X,24/10/1995
11871,02/05/1953,Nalini,Sommen,M,23/01/1988
10501,09/09/1962,Susuma,Larfeldt,M,20/04/1987
11036,04/09/1962,Muzhong,Greenaway,M,02/09/1987
11990,24/11/1964,Chanjung,Matheson,M,05/09/1988
11734,28/07/1963,Ramya,Baezner,F,30/04/1990
11565,02/09/1963,Yoshinari,Sankaranarayanan,M,03/02/1988
11229,20/10/1953,Gretta,Ramamoorthy,M,26/07/1991
